timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 29, 2026 @ 20:12:13.828",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`time_zone`'",3,100711
"Jun 29, 2026 @ 20:12:13.828",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.828",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.828",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`help_topic`'",3,100711
"Jun 29, 2026 @ 20:12:13.828",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.807",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.807",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.807",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`proxies_priv`'",3,100711
"Jun 29, 2026 @ 20:12:13.768",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`event`'",3,100711
"Jun 29, 2026 @ 20:12:13.768",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.768",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.768",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`time_zone_leap_second`'",3,100711
"Jun 29, 2026 @ 20:12:13.768",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.696",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`db`'",3,100711
"Jun 29, 2026 @ 20:12:13.696",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
