timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 27, 2026 @ 14:52:17.587",windows10,Possible DeerStealer malware activity detected. Executable file dropped in folder commonly used by malware: C:\\Users\\bryan\\AppData\\Local\\Temp\\B35EFA8E-241C-481B-970F-515B2A48C9B8\\DismHost.exe.,12,111202
"Jun 27, 2026 @ 08:08:09.149",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\RuntimeBroker.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe.",12,111205
"Jun 27, 2026 @ 08:08:08.745",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\RuntimeBroker.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe.",12,111205
"Jun 27, 2026 @ 08:03:05.893",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\cmd.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Windows\\System32\\cmd.exe.",12,111205
"Jun 27, 2026 @ 08:03:05.063",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\cmd.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Windows\\System32\\cmd.exe.",12,111205
"Jun 27, 2026 @ 08:03:04.623",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\cmd.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Windows\\System32\\cmd.exe.",12,111205
"Jun 27, 2026 @ 08:03:04.251",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\cmd.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Windows\\System32\\cmd.exe.",12,111205
"Jun 26, 2026 @ 23:07:09.634",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\RuntimeBroker.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe.",12,111205
"Jun 26, 2026 @ 23:07:09.525",windows10,"Possible DeerStealer malware executable, C:\\Windows\\System32\\RuntimeBroker.exe performed SetValue on HKLM\\System\\CurrentControlSet\\Services\\bam\\State\\UserSettings\\S-1-5-21-3416555442-3825888069-590188528-1001\\\\Device\\HarddiskVolume2\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe.",12,111205
